marca,modello,tipo,capacita_litri,numero_racchette,scomparti,tasca_termica,materiale,colori,prezzo,paese_origine,fascia
Wilson,Super Tour 15 Pack,zaino,30,15,3,si,poly,nero,89.99,USA,pro
Wilson,Team 12 Pack,borsa,25,12,2,si,poly,rosso,69.99,USA,medio
Wilson,Tour 9 Pack,borsa,20,9,2,no,poly,blu,49.99,USA,base
Babolat,Pure Aero Backpack,zaino,25,2,3,no,poly,giallo,79.99,Francia,pro
Babolat,Team Line 6R,borsa,18,6,2,si,poly,bianco,59.99,Francia,medio
Babolat,Club Line 6R,borsa,15,6,1,no,poly,nero,39.99,Francia,base
Head,Tour Team 12R,borsa,28,12,3,si,poly,grigio,89.99,Austria,pro
Head,Pro X 9R,borsa,22,9,2,si,poly,nero,69.99,Austria,medio
Head,Club 6R,borsa,16,6,1,no,poly,blu,39.99,Austria,base
Yonex,Pro Series 12R,borsa,26,12,3,si,poly,blu,89.99,Giappone,pro
Yonex,Team 9R,borsa,20,9,2,no,poly,nero,59.99,Giappone,medio
Yonex,Club 6R,borsa,15,6,1,no,poly,verde,35.99,Giappone,base
Nike,Court Advantage Bag,zaino,22,2,2,no,nylon,nero,69.99,USA,medio
Nike,Court Tech Bag,borsa,24,9,2,si,nylon,bianco,79.99,USA,pro
Adidas,Tour 12R,borsa,26,12,3,si,poly,nero,84.99,Germania,pro
Adidas,Control 9R,borsa,20,9,2,no,poly,blu,59.99,Germania,medio
Adidas,Club 6R,borsa,15,6,1,no,poly,rosso,35.99,Germania,base
Tecnifibre,Tour RS Endurance,borsa,28,15,3,si,poly,nero,99.99,Francia,pro
Tecnifibre,Team Dry Standbag,borsa,22,9,2,si,poly,bianco,69.99,Francia,medio
Prince,Tour Team 12,borsa,25,12,2,si,poly,blu,79.99,USA,pro
